STT,ID Slug,Code,Khu vực,Tên gốc (trước sáp nhập),Tên hiển thị (sau sáp nhập),Tỉnh cũ,Tỉnh mới,Địa chỉ cũ (chi tiết),Địa chỉ mới (sau sáp nhập chi tiết),Lat,Lng,Google Maps Place URL,Google Maps Embed iframe HTML,Phone 1,Phone 2,Email,Website subpath,Trạng thái,Giờ T2-T6,Giờ T7,Giờ CN,Quản lý điểm,Ngày cập nhật (DD/MM/YYYY),Cap: Phim 3M,Cap: Phim LLumar,Cap: PPF SunTek,Cap: Đèn Bi Led Xlight,Cap: Đèn GTR,Cap: Camera hành trình,Cap: Âm thanh,Cap: DVD Android,Cap: Xe điện / VinFast,Ảnh mặt tiền URL,Ảnh interior 1 URL,Ảnh interior 2 URL,Video giới thiệu URL,Google Business Profile URL,Facebook Fanpage URL,Zalo OA URL,Rating GBP (0-5),Số review GBP,Ghi chú riêng
11,hai-phong,A365·BR·046,Miền Bắc,Auto365 Hải Phòng,Auto365 Hải Phòng (Hải Phòng mới),Hải Phòng,Hải Phòng,"203 Lô 9 Đường 216 Lê Hồng Phong, Hải An","Số 203 Lô 9 Đường Lê Hồng Phong, Phường Hải An, Thành phố Hải Phòng.",20.86,106.68,,,0763.328.328,,,/hai-phong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Hải Phòng.jpg,,,,,,,,,
12,hai-phong-cn2,A365·BR·029,Miền Bắc,Auto365 Hải Phòng - Chi Nhánh 2,Auto365 Hải Phòng - Chi Nhánh 2,Hải Phòng,Hải Phòng,"325 Hùng Vương, Sở Dầu, Hồng Bàng","Số 325, đường Hùng Vương, phường Hồng Bàng, Thành phố Hải Phòng",20.86909,106.65578,,,0838.328.328,,,/hai-phong-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/hai-phongcn2/ben-ngoai.jpg,,,,,,,,,
13,lang-son,A365·BR·028,Miền Bắc,Auto365 Lạng Sơn,Auto365 Lạng Sơn (Lạng Sơn ),Lạng Sơn,Lạng Sơn,Ngã tư Phai Trần,"Số 746, đường Trần Đăng Ninh, Phường Tam Thanh, Tỉnh Lạng Sơn",21.85,106.76,,,02053.868.286,0919.286.550,,/lang-son,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365 lạng sơn.jpg,,,,,,,,,
14,lao-cai,A365·BR·021,Miền Bắc,Auto365 Lào Cai,Auto365 Lào Cai (Lào Cai mới),Lào Cai,Lào Cai,313 Trần Phú,"Số 313 đường Trần Phú, Phường Cam Đường, Tỉnh Lào Cai",21.48235,104.72878,,,0982.82.82.92,0824.365.365,,/lao-cai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/365laocai.jpg,,,,,,,,,
15,yen-bai,A365·BR·025,Miền Bắc,Auto365 Yên Bái,Auto365 Yên Bái (Lào Cai mới),Yên Bái,Lào Cai,"1031 Đường Đại Đồng, Tổ dân phố 4","1031 Đường Đại Đồng, Xã Yên Bình, Tỉnh Lào Cai",22.33,104.1,,,0968 254 272,0826 585 365,,/yen-bai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-yen-bai/auto365-yen-bai.jpg,,,,,,,,,
16,ha-nam,A365·BR·036,Miền Bắc,Auto365 Hà Nam,Auto365 Hà Nam (Ninh Bình mới),Hà Nam,Ninh Bình,198 Lê Hoàn,"198 Đường Lê Hoàn, Phường Lam Hạ, tỉnh Ninh Bình",20.58457,105.92753,,,0788.825.999,,,/ha-nam,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Hà Nam.jpg,,,,,,,,,
17,nam-dinh,A365·BR·047,Miền Bắc,Auto365 Nam Định,Auto365 Nam Định (Ninh Bình mới),Nam Định,Ninh Bình,55-57-59-61 Nguyễn Văn Hoan,"Số 57 đường Nguyễn Văn Hoan, phường Đông A,Tỉnh Ninh Bình",20.25,105.98,,,0962.475.666,0968.773.888,,/nam-dinh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-nam-đinh/ben-ngoai.jpg,,,,,,,,,
18,ninh-binh,A365·BR·037,Miền Bắc,Auto365 Ninh Bình,Auto365 Ninh Bình (Ninh Bình mới),Ninh Bình,Ninh Bình,237 Lương Văn Thăng,"số 237 đường Lương Văn Thăng, phường Đông Thành, TP. Ninh Bình",20.26245,105.97193,,,0788.816.999,,,/ninh-binh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Ninh Bình.jpg,,,,,,,,,
19,son-la,A365·BR·039,Miền Bắc,Auto365 Sơn La,Auto365 Sơn La,Sơn La,Sơn La,Tiểu khu 32,"Tiểu khu 32, Thị trấn Nông trường Mộc Châu, tỉnh Sơn La",21.33,103.9,,,0979 000 004,,,/son-la,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Sơn La.png,,,,,,,,,
20,son-la-cn2,A365·BR·031,Miền Bắc,Auto365 Sơn La - Chi Nhánh 2,Auto365 Sơn La - Chi Nhánh 2,Sơn La,Sơn La,Số 306B Đường Trần Đăng Ninh,"Số 306B, Đường Trần Đăng Ninh, Phường Quyết Tâm, Thành phố Sơn La",21.33,103.9,,,0979 000 004,0919 000 004,,/son-la-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Sơn La CN2.jpg,,,,,,,,,
21,hung-yen,A365·BR·042,Miền Bắc,Auto365 Hưng Yên,Auto365 Hưng Yên (Hưng Yên mới),Hưng Yên,Hưng Yên,39B Thôn Nho Lâm,,20.65,106.05,,,0898365365,0972254228,,/hung-yen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/365hungyen-new.jpg,,,,,,,,,
22,thai-binh,A365·BR·044,Miền Bắc,Auto365 Thái Bình,Auto365 Thái Bình (Hưng Yên mới),Thái Bình,Hưng Yên,Số 235 Dốc Đen,,20.65,106.05,,,0908 888 303,0948 316 555,,/thai-binh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/thai-binh-cn1/auto365-thai-binh-cn1-13.jpg,,,,,,,,,
23,thai-binh-cn2,A365·BR·035,Miền Bắc,Auto365 Thái Bình - Chi Nhánh 2,Auto365 Thái Bình - Chi Nhánh 2 (Hưng Yên mới),Thái Bình,Hưng Yên,Ngã 4 Trần Phú – Trần Thủ Độ,"Thửa đất số 796 (Ngã tư Trần Phú, Trần Thủ Độ), Cụm Công Nghiệp Phong Phú, P. Trần Hưng Đạo, Hưng Yên",20.65,106.05,,,0566.722.222,,,/thai-binh-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Thái Bình (2).jpg,,,,,,,,,
24,vinh-phuc,A365·BR·043,Miền Bắc,Auto365 Vĩnh Phúc,Auto365 Vĩnh Phúc (Phú Thọ mới),Vĩnh Phúc,Phú Thọ,"Khu Trại Giao, Đường Nguyễn Tất Thành",,21.3,105.2,,,,,,/vinh-phuc,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365-vinh-phuc-moi.jpg,,,,,,,,,
25,phuc-yen,A365·BR·034,Miền Bắc,Auto365 Phúc Yên,Auto365 Phúc Yên (Phú Thọ mới),Vĩnh Phúc,Phú Thọ,88 Hai Bà Trưng,,21.24011,105.7356,,,0983 612 338,,,/phuc-yen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/365-phuc-yen.jpg,,,,,,,,,
26,auto365-phuc-yen-cn2,A365·BR·080,Miền Bắc,Auto365 Phúc Yên - Chi Nhánh 2,Auto365 Phúc Yên - Chi Nhánh 2,Vĩnh Phúc,Phú Thọ,485-486 KĐT Đồng Sơn,,21.3,105.2,,,0983 612 338,0987.025.338,,/auto365-phuc-yen-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/365phucyencn2/image19.jpg,,,,,,,,,
27,phu-tho,A365·BR·045,Miền Bắc,Auto365 Phú Thọ,Auto365 Phú Thọ (Phú Thọ mới),Phú Thọ,Phú Thọ,2622 Đường Hùng Vương,"2620-2622 Đường Hùng Vương, Phường Vân Phú, Tỉnh Phú Thọ",21.30626,105.40723,,,0975.791.999,0975.781.888,,/phu-tho,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/AUTO365 PHÚ THỌ.png,,,,,,,,,
28,hoa-binh,A365·BR·023,Miền Bắc,Auto365 Hòa Bình,Auto365 Hòa Bình (Phú Thọ mới),Hòa Bình,Phú Thọ,Số 1 Đường Hữu Nghị,"Số 1 Đường Hữu Nghị, Phường Hòa Bình, Tỉnh Phú Thọ",21.3,105.2,,,0833.68.2828,0975.977.795,,/hoa-binh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365 hòa bình.png,,,,,,,,,
29,ha-noi,A365·BR·002,Miền Bắc,Auto365 Hà Nội,Auto365 Hà Nội,Hà Đông - Hà Nội,Hà Nội,"934 Quang Trung, Phường Yên Nghĩa","Số 5 ngách 43, Ngõ 14 Đường Quang Trung, Phường Dương Nội, Thành phố Hà Nội",20.93739,105.72866,,,0888 006 669,02422 365 365,,/ha-noi,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/branch/auto365vn-auto365-ha-noi-4jpg-img_6a058d528ecbb5.46436107_.jpg,,,,,,,,,
30,my-dinh,A365·BR·020,Miền Bắc,Auto365 Mỹ Đình,Auto365 Mỹ Đình,Mỹ Đình - Hà Nội,Hà Nội,116 Trịnh Văn Bô (chân cầu vượt Xuân Phương),"Số 116 đường Trịnh Văn Bô (chân cầu vượt Xuân Phương), Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",21.03,105.85,,,0822.863.366,,,/my-dinh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/my-dinh/update/my-dinh.jpg,,,,,,,,,
31,long-bien,A365·BR·019,Miền Bắc,Auto365 Long Biên,Auto365 Long Biên,Long Biên - Hà Nội,Hà Nội,146 Phố Hồng Tiến,"số 146 Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",21.03848,105.87645,,,0702.365.365,,,/long-bien,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Long Biên.jpg,,,,,,,,,
32,dong-anh-ha-noi,A365·BR·004,Miền Bắc,Auto365 Đông Anh,Auto365 Đông Anh,Đông Anh - Hà Nội,Hà Nội,"110 - Tổ 16, Đông Anh","Số 110, Tổ 16, Thị Trấn Đông Anh, TP Hà Nội",21.15383,105.85167,,,,,,/dong-anh-ha-noi,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-dong-anh-ha-noi/auto365-dong-anh-ha-noi-15.jpg,,,,,,,,,
33,quang-ninh,A365·BR·038,Miền Bắc,Auto365 Quảng Ninh,Auto365 Quảng Ninh,Hạ Long - Quảng Ninh,Quảng Ninh,"Số 19 Lô B17, KĐT Cột 5 – Cột 8","Cầu Hải Đội, Đường Bao Biển Cột 5 - Cột 8, Phường Hạ Long, Tỉnh Quảng Ninh",20.96,107.05,,,0388.888.636,,,/quang-ninh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365 quảng ninh.jpg,,,,,,,,,
34,auto365-cam-pha,A365·BR·084,Miền Bắc,Auto365 Cẩm Phả,Auto365 Cẩm Phả,Cẩm Phả - Quảng Ninh,Quảng Ninh,Số 239 Đường Lê Thanh Nghị,"239 Lê Thanh Nghị, phường Cẩm Trung, thành phố Cẩm Phả, tỉnh Quảng Ninh",20.96,107.05,,,0965 438 777,,,/auto365-cam-pha,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-cam-pha.jpg,,,,,,,,,
35,auto365-dong-trieu,A365·BR·086,Miền Bắc,Auto365 Đông Triều,Auto365 Đông Triều,Đông Triều - Quảng Ninh,Quảng Ninh,"Số nhà 604, Khu Mễ Xá 2","Số nhà 604, Khu Mễ Xá 2, Phường Đông Triều, Tỉnh Quảng Ninh",20.96,107.05,,,0342 630 118,,,/auto365-dong-trieu,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-dong-trieu.jpg,,,,,,,,,
36,auto365-mong-cai,A365·BR·087,Miền Bắc,Auto365 Móng Cái,Auto365 Móng Cái,Móng Cái - Quảng Ninh,Quảng Ninh,Đường Tuệ Tĩnh,"Đường Tuệ Tĩnh, Phường Ninh Dương, Thành phố Móng Cái, Quảng Ninh",21.5279,107.96306,,,,,,/auto365-mong-cai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-mong-cai.jpg,,,,,,,,,
37,mong-cai-cn2,A365·BR·041,Miền Bắc,Auto365 Móng Cái - Chi Nhánh 2,Auto365 Móng Cái - Chi Nhánh 2,Quảng Ninh,Quảng Ninh,"Đại Lộ Hòa Bình, Khu Hồng Phong","Đường Đại Lộ Hòa Bình, Thành phố Móng Cái, Quảng Ninh",20.96,107.05,,,0833 116 365,0914 115 683,,/mong-cai-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365-mong-cai.jpg,,,,,,,,,
38,quang-yen,A365·BR·030,Miền Bắc,Auto365 Quảng Yên,Auto365 Quảng Yên,Quảng Yên - Quảng Ninh,Quảng Ninh,"Khu 9, Quảng Yên","Khu 9, Phường Quảng Yên, Thị xã Quảng Yên, Tỉnh Quảng Ninh",20.88867,106.81796,,,0352.365.365,,,/quang-yen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/quang-yen/Untitled picture.jpg,,,,,,,,,
39,uong-bi,A365·BR·024,Miền Bắc,Auto365 Uông Bí,Auto365 Uông Bí,Uông Bí - Quảng Ninh,Quảng Ninh,"289 Trần Nhân Tông, P. Yên Thanh","Số 289 Đường Trần Nhân Tông, Phường Uông Bí, Quảng Ninh",21.03437,106.75348,,,0904.199.479,,,/uong-bi,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365-uong-bi.jpg,,,,,,,,,
40,auto365-van-don,A365·BR·082,Miền Bắc,Auto365 Vân Đồn,Auto365 Vân Đồn,Vân Đồn - Quảng Ninh,Quảng Ninh,Đường tỉnh 334,"Đường tỉnh 334, Đặc khu Vân Đồn, tỉnh Quảng Ninh",21.04436,107.37976,,,0989 192 165,,,/auto365-van-don,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-van-don/auto365-van-don-1.jpg,,,,,,,,,
41,binh-thuan,A365·BR·055,Miền Trung & Tây Nguyên,Auto365 Bình Thuận,Auto365 Bình Thuận (Lâm Đồng mới),Bình Thuận,Lâm Đồng,124-125 Hùng Vương,"124 Hùng Vương,Phường Phú Thuỷ,Lâm Đồng",11.94036,108.45835,,,0786.365.365,,,/binh-thuan,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/Auto365 Bình thuận.jpg,,,,,,,,,
42,lam-dong,A365·BR·056,Miền Trung & Tây Nguyên,Auto365 Lâm Đồng,Auto365 Lâm Đồng,Lâm Đồng,Lâm Đồng,306 Quốc lộ 20,"Số 306 -  308, Quốc lộ 20, Xã Đức Trọng, Tỉnh Lâm Đồng",11.87697,108.47,,,0848.365.365,,,/lam-dong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/LÂM ĐỒNG/Auto365 Lâm Đồng.jpg,,,,,,,,,
43,da-nang,A365·BR·006,Miền Trung & Tây Nguyên,Auto365 Đà Nẵng,Auto365 Đà Nẵng (Đà Nẵng mới),Đà Nẵng,Đà Nẵng,29 Đường 2/9,"Số 29 , đường 2/9 , Phường Hòa Cường , Thành phố Đà Nẵng",16.03896,108.22349,,,0773.365.365,,,/da-nang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-da-nang-khai-truong.jpg.png,,,,,,,,,
44,quang-nam,A365·BR·053,Miền Trung & Tây Nguyên,Auto365 Quảng Nam,Auto365 Quảng Nam (Đà Nẵng mới),Quảng Nam,Đà Nẵng,74-76 Nguyễn Văn Trỗi,"74 - 76 Nguyễn Văn Trỗi, Phường Bàn Thạch, Thành Phố Đà Nẵng",15.89173,108.32093,,,0986.815.442,,,/quang-nam,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-quang-nam/auto365-quang-nam-1.jpg,,,,,,,,,
45,dak-lak,A365·BR·058,Miền Trung & Tây Nguyên,Auto365 Buôn Ma Thuột,Auto365 Buôn Ma Thuột,Đắk Lắk,Đắk Lắk,95 Phạm Ngũ Lão,"Số 95, đường Phạm Ngũ Lão, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",12.69211,108.03202,,,0932.444.414,0947.365.365,,/dak-lak,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-buon-ma-thuot/auto365-buon-ma-thuot.jpg,,,,,,,,,
46,dak-nong,A365·BR·054,Miền Trung & Tây Nguyên,Auto365 Đắk Nông,Auto365 Đắk Nông (Đắk Lắk mới),Đắk Nông,Lâm Đồng,141 Hùng Vương,"Số 141, Đường Hùng Vương, Phường Đông Gia Nghĩa, Tỉnh Lâm Đồng",11.9467,108.49082,,,035.365.4848,,,/dak-nong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/ĐĂK NÔNG/Auto365 Đăk Nông.png,,,,,,,,,
47,gia-lai,A365·BR·059,Miền Trung & Tây Nguyên,Auto365 Gia Lai,Auto365 Gia Lai,Gia Lai,Gia Lai,592 Phạm Văn Đồng,"Số 592 Phạm Văn Đồng, Phường Thống Nhất, TP. Pleiku, Gia Lai",14.01699,107.99197,,,036.886.8181,,,/gia-lai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/GIA LAI/Auto365 Gia Lai.jpg,,,,,,,,,
48,auto365-gia-lai-cn2,A365·BR·075,Miền Trung & Tây Nguyên,Auto365 Gia Lai - Chi Nhánh 2,Auto365 Gia Lai - Chi Nhánh 2,Gia Lai,Gia Lai,39 Quyết Tiến,"Số 39 Quyết Tiến, TP. Pleiku, Gia La",13.97203,107.99841,,,036 886 8181,,,/auto365-gia-lai-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/auto365-gia-laicn2.jpg,,,,,,,,,
49,quy-nhon,A365·BR·010,Miền Trung & Tây Nguyên,Auto365 Quy Nhơn,Auto365 Quy Nhơn (Gia Lai Mới),Bình Định,Gia Lai,Số 31 Đường Thanh Niên,"Số 31 đường Thanh Niên, phường Quy Nhơn Nam, tỉnh Gia Lai",13.88468,109.10543,,,070.700.8868,,,/quy-nhon,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-quy-nhon.jpg,,,,,,,,,
50,phu-yen,A365·BR·009,Miền Trung & Tây Nguyên,Auto365 Phú Yên,Auto365 Phú Yên (Gia Lai Mới),Phú Yên,Đắk Lắk,365 Đại Lộ Hùng Vương,"365 Đại lộ Hùng Vương, Phường Tuy Hòa, Tỉnh Đắk Lắk",13.07001,109.32751,,,0783.365.365,,,/phu-yen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/phu-yen/auto365-phu-yen-14.jpg,,,,,,,,,
51,ha-tinh,A365·BR·007,Miền Trung & Tây Nguyên,Auto365 Hà Tĩnh,Auto365 Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,43 Nguyễn Hoành Từ,"Số 43 Nguyễn Hoành Từ, Phường Thành Sen, TP. Hà Tĩnh.",18.34,105.9,,,0877.333.365,0343.363.346,,/ha-tinh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365 hà tĩnh.jpg,,,,,,,,,
52,ha-tinh-cn2,A365·BR·049,Miền Trung & Tây Nguyên,Auto365 Hà Tĩnh - Chi Nhánh 2,Auto365 Hà Tĩnh - Chi Nhánh 2,Hà Tĩnh,Hà Tĩnh,Ngã 3 Bích Châu,"Ngã 3 Bích Châu, Xã Kỳ Anh, Tỉnh Hà Tĩnh",18.07239,106.32553,,,0888.333.365,,,/ha-tinh-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-ha-tinh-cn2.jpg,,,,,,,,,
